,price
2018-10-30 23:00:00+00:00,38.49
2018-10-31 00:00:00+00:00,38.29
2018-10-31 01:00:00+00:00,39.0
2018-10-31 02:00:00+00:00,39.0
2018-10-31 03:00:00+00:00,39.72
2018-10-31 04:00:00+00:00,42.08
2018-10-31 05:00:00+00:00,64.0
2018-10-31 06:00:00+00:00,49.9
2018-10-31 07:00:00+00:00,52.4
2018-10-31 08:00:00+00:00,69.9
2018-10-31 09:00:00+00:00,56.4
2018-10-31 10:00:00+00:00,55.0
2018-10-31 11:00:00+00:00,55.0
2018-10-31 12:00:00+00:00,51.4
2018-10-31 13:00:00+00:00,61.65
2018-10-31 14:00:00+00:00,69.16
2018-10-31 15:00:00+00:00,73.27
2018-10-31 16:00:00+00:00,82.07
2018-10-31 17:00:00+00:00,74.02
2018-10-31 18:00:00+00:00,62.2
2018-10-31 19:00:00+00:00,50.08
2018-10-31 20:00:00+00:00,63.0
2018-10-31 21:00:00+00:00,52.5
2018-10-31 22:00:00+00:00,51.9
2018-10-31 23:00:00+00:00,44.9
2018-11-01 00:00:00+00:00,42.46
2018-11-01 01:00:00+00:00,44.0
2018-11-01 02:00:00+00:00,41.42
2018-11-01 03:00:00+00:00,41.4
2018-11-01 04:00:00+00:00,44.19
2018-11-01 05:00:00+00:00,49.22
2018-11-01 06:00:00+00:00,51.4
2018-11-01 07:00:00+00:00,51.4
2018-11-01 08:00:00+00:00,59.66
2018-11-01 09:00:00+00:00,52.0
2018-11-01 10:00:00+00:00,55.0
2018-11-01 11:00:00+00:00,63.71
2018-11-01 12:00:00+00:00,55.37
2018-11-01 13:00:00+00:00,53.07
2018-11-01 14:00:00+00:00,53.09
2018-11-01 15:00:00+00:00,50.38
2018-11-01 16:00:00+00:00,62.99
2018-11-01 17:00:00+00:00,70.69
2018-11-01 18:00:00+00:00,65.0
2018-11-01 19:00:00+00:00,53.98
2018-11-01 20:00:00+00:00,46.18
2018-11-01 21:00:00+00:00,50.7
2018-11-01 22:00:00+00:00,50.7
2018-11-01 23:00:00+00:00,54.9
2018-11-02 00:00:00+00:00,50.0
2018-11-02 01:00:00+00:00,42.15
2018-11-02 02:00:00+00:00,41.89
2018-11-02 03:00:00+00:00,44.9
2018-11-02 04:00:00+00:00,48.1
2018-11-02 05:00:00+00:00,48.41
2018-11-02 06:00:00+00:00,54.12
2018-11-02 07:00:00+00:00,60.7
2018-11-02 08:00:00+00:00,70.7
2018-11-02 09:00:00+00:00,50.22
2018-11-02 10:00:00+00:00,48.7
2018-11-02 11:00:00+00:00,49.5
2018-11-02 12:00:00+00:00,53.45
2018-11-02 13:00:00+00:00,62.82
2018-11-02 14:00:00+00:00,66.03
2018-11-02 15:00:00+00:00,70.99
2018-11-02 16:00:00+00:00,81.14
2018-11-02 17:00:00+00:00,77.13
2018-11-02 18:00:00+00:00,72.01
2018-11-02 19:00:00+00:00,59.09
2018-11-02 20:00:00+00:00,52.15
2018-11-02 21:00:00+00:00,48.7
2018-11-02 22:00:00+00:00,48.42
2018-11-02 23:00:00+00:00,46.51
2018-11-03 00:00:00+00:00,46.04
2018-11-03 01:00:00+00:00,44.55
2018-11-03 02:00:00+00:00,44.65
2018-11-03 03:00:00+00:00,44.71
2018-11-03 04:00:00+00:00,44.81
2018-11-03 05:00:00+00:00,50.01
2018-11-03 06:00:00+00:00,55.53
2018-11-03 07:00:00+00:00,61.5
2018-11-03 08:00:00+00:00,65.03
2018-11-03 09:00:00+00:00,63.19
2018-11-03 10:00:00+00:00,54.69
2018-11-03 11:00:00+00:00,45.8
2018-11-03 12:00:00+00:00,45.55
2018-11-03 13:00:00+00:00,47.36
2018-11-03 14:00:00+00:00,56.6
2018-11-03 15:00:00+00:00,61.41
2018-11-03 16:00:00+00:00,69.51
2018-11-03 17:00:00+00:00,61.25
2018-11-03 18:00:00+00:00,54.45
2018-11-03 19:00:00+00:00,45.67
2018-11-03 20:00:00+00:00,50.0
2018-11-03 21:00:00+00:00,47.4
2018-11-03 22:00:00+00:00,53.0
2018-11-03 23:00:00+00:00,50.0
2018-11-04 00:00:00+00:00,51.24
2018-11-04 01:00:00+00:00,49.9
2018-11-04 02:00:00+00:00,44.79
2018-11-04 03:00:00+00:00,44.9
2018-11-04 04:00:00+00:00,50.0
2018-11-04 05:00:00+00:00,51.9
2018-11-04 06:00:00+00:00,50.6
2018-11-04 07:00:00+00:00,45.48
2018-11-04 08:00:00+00:00,49.99
2018-11-04 09:00:00+00:00,49.8
2018-11-04 10:00:00+00:00,55.0
2018-11-04 11:00:00+00:00,55.0
2018-11-04 12:00:00+00:00,46.01
2018-11-04 13:00:00+00:00,49.9
2018-11-04 14:00:00+00:00,51.01
2018-11-04 15:00:00+00:00,52.3
2018-11-04 16:00:00+00:00,62.99
2018-11-04 17:00:00+00:00,67.17
2018-11-04 18:00:00+00:00,60.0
2018-11-04 19:00:00+00:00,69.9
2018-11-04 20:00:00+00:00,60.7
2018-11-04 21:00:00+00:00,50.1
2018-11-04 22:00:00+00:00,54.72
2018-11-04 23:00:00+00:00,58.89
2018-11-05 00:00:00+00:00,45.5
2018-11-05 01:00:00+00:00,43.13
2018-11-05 02:00:00+00:00,42.3
2018-11-05 03:00:00+00:00,41.92
2018-11-05 04:00:00+00:00,43.93
2018-11-05 05:00:00+00:00,54.22
2018-11-05 06:00:00+00:00,67.64
2018-11-05 07:00:00+00:00,69.91
2018-11-05 08:00:00+00:00,67.75
2018-11-05 09:00:00+00:00,68.2
2018-11-05 10:00:00+00:00,68.31
2018-11-05 11:00:00+00:00,65.78
2018-11-05 12:00:00+00:00,67.16
2018-11-05 13:00:00+00:00,68.21
2018-11-05 14:00:00+00:00,70.94
2018-11-05 15:00:00+00:00,71.48
2018-11-05 16:00:00+00:00,86.15
2018-11-05 17:00:00+00:00,78.49
2018-11-05 18:00:00+00:00,66.64
2018-11-05 19:00:00+00:00,55.92
2018-11-05 20:00:00+00:00,52.04
2018-11-05 21:00:00+00:00,50.2
2018-11-05 22:00:00+00:00,54.7
2018-11-05 23:00:00+00:00,58.56
2018-11-06 00:00:00+00:00,49.88
2018-11-06 01:00:00+00:00,44.9
2018-11-06 02:00:00+00:00,43.53
2018-11-06 03:00:00+00:00,43.93
2018-11-06 04:00:00+00:00,48.18
2018-11-06 05:00:00+00:00,57.1
2018-11-06 06:00:00+00:00,67.95
2018-11-06 07:00:00+00:00,70.1
2018-11-06 08:00:00+00:00,68.25
2018-11-06 09:00:00+00:00,66.63
2018-11-06 10:00:00+00:00,63.86
2018-11-06 11:00:00+00:00,60.73
2018-11-06 12:00:00+00:00,62.41
2018-11-06 13:00:00+00:00,63.14
2018-11-06 14:00:00+00:00,64.34
2018-11-06 15:00:00+00:00,66.89
2018-11-06 16:00:00+00:00,74.68
2018-11-06 17:00:00+00:00,84.82
2018-11-06 18:00:00+00:00,73.91
2018-11-06 19:00:00+00:00,65.08
2018-11-06 20:00:00+00:00,52.0
2018-11-06 21:00:00+00:00,48.6
2018-11-06 22:00:00+00:00,54.25
2018-11-06 23:00:00+00:00,44.88
2018-11-07 00:00:00+00:00,43.92
2018-11-07 01:00:00+00:00,41.59
2018-11-07 02:00:00+00:00,40.64
2018-11-07 03:00:00+00:00,43.37
2018-11-07 04:00:00+00:00,43.77
2018-11-07 05:00:00+00:00,50.79
2018-11-07 06:00:00+00:00,61.99
2018-11-07 07:00:00+00:00,64.18
2018-11-07 08:00:00+00:00,63.01
2018-11-07 09:00:00+00:00,61.56
2018-11-07 10:00:00+00:00,59.09
2018-11-07 11:00:00+00:00,58.64
2018-11-07 12:00:00+00:00,60.03
2018-11-07 13:00:00+00:00,62.94
2018-11-07 14:00:00+00:00,65.61
2018-11-07 15:00:00+00:00,67.7
2018-11-07 16:00:00+00:00,70.99
2018-11-07 17:00:00+00:00,77.45
2018-11-07 18:00:00+00:00,74.73
2018-11-07 19:00:00+00:00,62.64
2018-11-07 20:00:00+00:00,50.79
2018-11-07 21:00:00+00:00,49.9
2018-11-07 22:00:00+00:00,57.4
